STATION,NAME,DATE,TAVG,TMAX,TMIN,TSUN,TMAX_C,TMIN_C
USW00094728,"NY CITY CENTRAL PARK, NY US",1/1/17,,48,40,,8.888888889,4.444444444
USW00094728,"NY CITY CENTRAL PARK, NY US",1/2/17,,41,37,,5,2.777777778
USW00094728,"NY CITY CENTRAL PARK, NY US",1/3/17,,43,39,,6.111111111,3.888888889
USW00094728,"NY CITY CENTRAL PARK, NY US",1/4/17,,52,34,,11.11111111,1.111111111
USW00094728,"NY CITY CENTRAL PARK, NY US",1/5/17,,34,27,,1.111111111,-2.777777778
USW00094728,"NY CITY CENTRAL PARK, NY US",1/6/17,,33,25,,0.555555556,-3.888888889
USW00094728,"NY CITY CENTRAL PARK, NY US",1/7/17,,26,20,,-3.333333333,-6.666666667
USW00094728,"NY CITY CENTRAL PARK, NY US",1/8/17,,25,16,,-3.888888889,-8.888888889
USW00094728,"NY CITY CENTRAL PARK, NY US",1/9/17,,23,14,,-5,-10
USW00094728,"NY CITY CENTRAL PARK, NY US",1/10/17,,46,21,,7.777777778,-6.111111111
USW00094728,"NY CITY CENTRAL PARK, NY US",1/11/17,,52,42,,11.11111111,5.555555556
USW00094728,"NY CITY CENTRAL PARK, NY US",1/12/17,,66,47,,18.88888889,8.333333333
USW00094728,"NY CITY CENTRAL PARK, NY US",1/13/17,,62,32,,16.66666667,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1/14/17,,34,28,,1.111111111,-2.222222222
USW00094728,"NY CITY CENTRAL PARK, NY US",1/15/17,,38,30,,3.333333333,-1.111111111
USW00094728,"NY CITY CENTRAL PARK, NY US",1/16/17,,43,30,,6.111111111,-1.111111111
USW00094728,"NY CITY CENTRAL PARK, NY US",1/17/17,,42,38,,5.555555556,3.333333333
USW00094728,"NY CITY CENTRAL PARK, NY US",1/18/17,,41,38,,5,3.333333333
USW00094728,"NY CITY CENTRAL PARK, NY US",1/19/17,,49,39,,9.444444444,3.888888889
USW00094728,"NY CITY CENTRAL PARK, NY US",1/20/17,,45,40,,7.222222222,4.444444444
USW00094728,"NY CITY CENTRAL PARK, NY US",1/21/17,,49,41,,9.444444444,5
USW00094728,"NY CITY CENTRAL PARK, NY US",1/22/17,,48,43,,8.888888889,6.111111111
USW00094728,"NY CITY CENTRAL PARK, NY US",1/23/17,,44,36,,6.666666667,2.222222222
USW00094728,"NY CITY CENTRAL PARK, NY US",1/24/17,,38,35,,3.333333333,1.666666667
USW00094728,"NY CITY CENTRAL PARK, NY US",1/25/17,,51,36,,10.55555556,2.222222222
USW00094728,"NY CITY CENTRAL PARK, NY US",1/26/17,,56,43,,13.33333333,6.111111111
USW00094728,"NY CITY CENTRAL PARK, NY US",1/27/17,,43,36,,6.111111111,2.222222222
